0.0 0.0 0.0 0.0
0.01 4.989201471259912e-18 8.465681031819308e-17 6.741893832660222e-17
0.1 1.4656377617552674e-17 6.617064926111755e-17 7.238618140292255e-17
0.3 -1.9705563878764845e-17 7.942219262562641e-17 7.193612337759724e-17
0.5 1.089839878131915e-17 1.078813712273008e-16 8.155586405668738e-17
0.8 -2.5876572328785776e-17 8.873660034575162e-17 9.148020868545601e-17
1.0 -4.4760683718247026e-18 9.593073013411516e-17 1.1600233802877074e-16
1.2 -7.828254805149832e-18 8.988850727475543e-17 9.622553751739158e-17
1.5 3.169128504050984e-17 8.25752207575815e-17 9.847035228684258e-17
1.8 8.207193573007872e-18 4.755969273202169e-17 5.734937904382421e-17
2.0 -1.0773299855171484e-17 4.5166591117270874e-17 5.834122618584212e-17
2.5 2.041217933908424e-18 2.2850424381248026e-17 2.8353826024057765e-17
3.0 2.5123448503646335e-18 1.5133946391631554e-17 1.4987017591785358e-17
4.0 -1.1958474354526664e-19 1.5429493649877947e-17 1.8571331504997445e-17
5.0 4.667361063779048e-19 2.7245340880765292e-18 3.855673673535012e-18
